"ID","name","SubCountyDHISCode","SubCountyMFLCode","SubCountyCoordinates","county","province","comment","flag"
"1","SAKASSOU",NULL,NULL,NULL,"17","0",NULL,"1"
"2","KORHOGO-1",NULL,NULL,NULL,"14","0",NULL,"1"
"3","KOUIBLY",NULL,NULL,NULL,"11","0",NULL,"1"
"4","ABOBO-OUEST",NULL,NULL,NULL,"8","0",NULL,"1"
"5","COCODY-BINGERVILLE",NULL,NULL,NULL,"8","0",NULL,"1"
"6","BOUAKE-NORD-EST",NULL,NULL,NULL,"17","0",NULL,"1"
"7","BOUAKE-NORD-OUEST",NULL,NULL,NULL,"17","0",NULL,"1"
"8","BOUAKE-SUD",NULL,NULL,NULL,"17","0",NULL,"1"
"9","SAN-PEDRO",NULL,NULL,NULL,"2","0",NULL,"1"
"10","ABOBO-EST",NULL,NULL,NULL,"8","0",NULL,"1"
"11","SOUBRE",NULL,NULL,NULL,"2","0",NULL,"1"
"12","GAGNOA",NULL,NULL,NULL,"5","0",NULL,"1"
"13","DALOA",NULL,NULL,NULL,"4","0",NULL,"1"
"14","YOPOUGON-EST",NULL,NULL,NULL,"7","0",NULL,"1"
"15","YOPOUGON-OUEST-SONGON",NULL,NULL,NULL,"7","0",NULL,"1"
"16","ANYAMA",NULL,NULL,NULL,"8","0",NULL,"1"
"17","ADJAME-PLATEAU-ATTECOUBE",NULL,NULL,NULL,"7","0",NULL,"1"
"18","KOUMASSI-PORT BOUET-VRIDI",NULL,NULL,NULL,"8","0",NULL,"1"
"19","TREICHVILLE-MARCORY",NULL,NULL,NULL,"8","0",NULL,"1"
"20","OUME",NULL,NULL,NULL,"5","0",NULL,"1"
"21","ABENGOUROU",NULL,NULL,NULL,"13","0",NULL,"1"
"22","BETTIE",NULL,NULL,NULL,"13","0",NULL,"1"
"23","AGNIBILEKROU",NULL,NULL,NULL,"13","0",NULL,"1"
"24","ADZOPE",NULL,NULL,NULL,"1","0",NULL,"1"
"25","AGBOVILLE",NULL,NULL,NULL,"1","0",NULL,"1"
"26","AKOUPE",NULL,NULL,NULL,"1","0",NULL,"1"
"27","ALEPE",NULL,NULL,NULL,"1","0",NULL,"1"
"28","BANGOLO",NULL,NULL,NULL,"11","0",NULL,"1"
"29","BEOUMI",NULL,NULL,NULL,"17","0",NULL,"1"
"30","BIANKOUMA",NULL,NULL,NULL,"10","0",NULL,"1"
"31","BLOLEQUIN",NULL,NULL,NULL,"11","0",NULL,"1"
"32","BOCANDA",NULL,NULL,NULL,"12","0",NULL,"1"
"33","BONDOUKOU",NULL,NULL,NULL,"20","0",NULL,"1"
"34","BONGOUANOU",NULL,NULL,NULL,"12","0",NULL,"1"
"35","BOUAFLE",NULL,NULL,NULL,"9","0",NULL,"1"
"36","BOUNA",NULL,NULL,NULL,"20","0",NULL,"1"
"37","BOUNDIALI",NULL,NULL,NULL,"14","0",NULL,"1"
"38","DABAKALA",NULL,NULL,NULL,"18","0",NULL,"1"
"39","DABOU",NULL,NULL,NULL,"7","0",NULL,"1"
"40","DANANE",NULL,NULL,NULL,"10","0",NULL,"1"
"41","DAOUKRO",NULL,NULL,NULL,"12","0",NULL,"1"
"42","PRIKRO",NULL,NULL,NULL,"12","0",NULL,"1"
"43","DIDIEVI",NULL,NULL,NULL,"6","0",NULL,"1"
